,Address,Company Name,County,Credit Score Alpha,Employee_Change,Estimated Labor Cost,Google_Reviews,Google_Scores,Grocery_within_Zip,NAICS,target,Sales_Change,Sales_per_employee,Square Footage,Supermarket_within_5_miles,county_personal_income,county_population
1203,574 Jersey Ave,Key Food,Hudson,U,0.0,97177.64201,449.0,4.3,73,44511003,1,0.0,230500,"1 - 1,499",48,65296.05455,685991.5091
1204,501 Richmond St,501 Food Market Inc,Union,C+,0.0,73712.72352999999,16.0,4.1,92,44511003,1,0.0,240500,"1,500 - 2,499",17,68219.0,562057.7636
1205,1003 Woodlane Rd,6-12 Food Market,Burlington,C+,0.0,47746.04451,17.0,4.2,43,44511003,1,0.0,237000,"1 - 1,499",6,62081.527270000006,445855.6545
1206,147 Irving Ave,Abarrotes Los Puentes,Cumberland,C+,0.0,76474.83442999999,143.0,4.2,71,44511003,1,0.0,239000,"1,500 - 2,499",2,40115.8,151919.2
1207,3211 Route 38,Abbruzzi & Giunta's Italian,Burlington,B+,0.0,477460.4451,130.0,4.8,41,44511006,1,0.0,236300,"5,000 - 9,999",15,62081.527270000006,445855.6545
1208,423 Main St,Abby's Place,Essex,C+,0.0,70091.07877000001,3.0,5.0,52,44512001,0,0.0,243000,"1,500 - 2,499",11,67268.47273,799220.5636
1209,260 Dunns Mill Rd,Acme Markets,Burlington,B,0.0,1432381.335,609.0,4.1,32,44511003,1,0.0,236267,"10,000 - 19,999",8,62081.527270000006,445855.6545
1210,168 Maple Ave,Adam's Food Market,Bergen,B,0.0,270792.3579,178.0,4.8,20,44511003,1,0.0,252400,"2,500 - 4,999",29,85629.45455,942512.0545
1211,2595 Highway 516,Aiellos Market & Catering,Middlesex,B+,0.0,1024341.7679999999,140.0,4.3,41,72232001,1,0.0,59560,"5,000 - 9,999",9,61266.49091,835785.1818
1212,1075 Easton Ave # 1,Amer-Fil Foodmart,Somerset,B,0.0,149533.5299,15.0,4.8,81,44719005,1,0.0,1131333,"1,500 - 2,499",10,104293.2182,333893.1455
1213,500 Magnolia Ave # A,Angel Food Market,Union,C,0.0,36856.36176,25.0,4.2,80,44511003,1,0.0,241000,"1,500 - 2,499",24,68219.0,562057.7636
1214,359 E Northfield Rd,Argyle Marketplace LLC,Essex,B,0.0,140182.1575,151.0,4.3,24,72251117,1,0.0,59500,"1 - 1,499",12,67268.47273,799220.5636
1215,423 Main St,Artista Salumeria,Morris,C+,0.0,156291.7271,43.0,4.7,14,44511003,1,0.0,264333,"1,500 - 2,499",4,99047.49091000001,495913.1091
1216,2 Austin Ave,Astir IT Solutions,Middlesex,C+,0.0,81947.3414,1.0,5.0,37,44511003,1,0.0,229000,"2,500 - 4,999",21,61266.49091,835785.1818
1217,1625 E 2nd St,Autumn Harvest Health Foods,Union,C+,0.0,73712.72352999999,36.0,4.8,15,44529914,1,0.0,157000,"1 - 1,499",17,68219.0,562057.7636
1218,41 S Laurel St,Azteca International LLC,Cumberland,C+,0.0,76474.83442999999,80.0,4.0,71,44511003,1,0.0,239000,"1,500 - 2,499",2,40115.8,151919.2
1219,343 Morris Ave,Balboa's Deli Grocery,Union,C,0.0,36856.36176,4.0,3.0,47,44511003,0,0.0,241000,"1 - 1,499",25,68219.0,562057.7636
1220,76 Gould Ave,Baraka Halal Grocery,Passaic,B,0.0,159325.3294,125.0,4.4,65,44511003,1,0.0,207750,"1 - 1,499",24,51091.4,506323.1818
1221,1045a Stuyvesant Ave,Barangay Union Grill-Food Mart,Union,C+,0.0,73712.72352999999,35.0,4.4,71,44511003,1,0.0,240500,"1 - 1,499",29,68219.0,562057.7636
1222,1 N Johnston Ave # 3,Bark N Bag LLC,Mercer,B,0.0,112471.5628,20.0,4.6,39,44511003,1,0.0,234667,"1,500 - 2,499",8,69383.27273,370297.8364
1223,41 South St,Barth's Pork Store,Union,A,0.0,737127.2353,149.0,4.8,7,44511003,1,0.0,240050,"10,000 - 19,999",14,68219.0,562057.7636
1224,3790 US Highway 1,Bereket Marketplace,Middlesex,C+,0.0,204868.3535,198.0,4.5,21,44511003,1,0.0,229000,"5,000 - 9,999",8,61266.49091,835785.1818
1225,75 Morristown Rd,Bernardsville Food Store,Somerset,C+,0.0,99689.01995,25.0,3.8,8,44511003,1,0.0,229500,"1,500 - 2,499",3,104293.2182,333893.1455
1226,8515 Landis Ave,Blitz's Market,Cape May,C+,0.0,68418.69385,22.0,3.1,7,44511003,1,0.0,408500,"1 - 1,499",4,61476.94545,92193.6
1227,301 N Harrison St # 45,Bon Appetit,Mercer,B+,0.0,749810.4188,1039.0,4.3,35,45322012,1,0.0,82900,"20,000 - 39,999",7,69383.27273,370297.8364
1228,3112 Fire Rd,Bonterra Market,Atlantic,B,0.0,558206.1449,46.0,3.6,40,44619102,1,0.0,104667,"5,000 - 9,999",9,48563.56364,266207.8
1229,70 Adams St # 1,Bonzao Supermarket,Essex,C+,0.0,70091.07877000001,49.0,4.5,106,44511003,1,0.0,243000,"1,500 - 2,499",19,67268.47273,799220.5636
1230,295 Union Ave,Brian's Mini Market,Passaic,C+,0.0,79662.6647,17.0,4.2,42,44511003,1,0.0,208000,"1,500 - 2,499",17,51091.4,506323.1818
1231,8302 3rd Ave,Bud's Market,Cape May,C+,0.0,68418.69385,74.0,4.3,8,44511003,1,0.0,408500,"1,500 - 2,499",2,61476.94545,92193.6
1232,246 5th Ave,Cabidan Grocery,Passaic,C+,0.0,79662.6647,1.0,4.0,52,44511003,1,0.0,208000,"1,500 - 2,499",19,51091.4,506323.1818
1233,516 Carpenter Ln,Cape May Peanut Butter Co,Cape May,C+,0.0,68418.69385,512.0,4.7,21,44511003,1,0.0,408500,"1,500 - 2,499",5,61476.94545,92193.6
1234,1800 Palisade Ave,Caracas Grocery,Hudson,C,0.0,48588.82101,5.0,5.0,210,44511003,1,0.0,231000,"1,500 - 2,499",55,65296.05455,685991.5091
1235,47 Myrtle St,Casa Reyes Mexican Products,Cumberland,C+,0.0,76474.83442999999,41.0,3.8,71,72251117,1,0.0,47500,"1 - 1,499",2,40115.8,151919.2
